|#    |name                     |IRI.                                                   |TripleCount    |
|232  |fundación                |http://es.dbpedia.org/property/fundación               |38092          |
|233  |subject                  |http://www.w3.org/2004/02/skos/core#subject            |37949          |
|234  |nombreCompleto           |http://dbpedia.org/property/nombreCompleto             |37897          |
|235  |formerTeam               |http://dbpedia.org/ontology/formerTeam                 |37660          |
|236  |conservationStatusSystem |http://dbpedia.org/ontology/conservationStatusSystem   |37443          |
|237  |dirigentesTítulos        |http://dbpedia.org/property/dirigentesTítulos          |37401          |
|238  |région                   |http://es.dbpedia.org/property/région                  |36779          |
|239  |canton                   |http://es.dbpedia.org/property/canton                  |36754          |
|240  |sans                     |http://es.dbpedia.org/property/sans                    |36498          |
|241  |insee                    |http://es.dbpedia.org/property/insee                   |36494          |
|242  |dateSans                 |http://es.dbpedia.org/property/dateSans                |36490          |
|243  |sans                     |http://dbpedia.org/property/sans                       |36488          |
|244  |département              |http://dbpedia.org/property/département                |36486          |
|245  |insee                    |http://dbpedia.org/property/insee                      |36482          |
|246  |dateSans                 |http://dbpedia.org/property/dateSans                   |36479          |
|247  |région                   |http://dbpedia.org/property/région                     |36449          |
|248  |arrondissement           |http://dbpedia.org/property/arrondissement             |36363          |
|249  |height                   |http://dbpedia.org/ontology/Person/height              |36292          |
|250  |discográfica             |http://dbpedia.org/property/discográfica               |36031          |
|251  |intercomm                |http://es.dbpedia.org/property/intercomm               |35890          |
|252  |predecesor               |http://dbpedia.org/property/predecesor                 |35510          |
|253  |mandat                   |http://es.dbpedia.org/property/mandat                  |35365          |
|254  |mandat                   |http://dbpedia.org/property/mandat                     |35354          |
|255  |sucesor                  |http://dbpedia.org/property/sucesor                    |35250          |
|256  |miembros                 |http://es.dbpedia.org/property/miembros                |35234          |
|257  |período                  |http://dbpedia.org/property/período                    |35144          |
|258  |anterior                 |http://es.dbpedia.org/property/anterior                |35077          |
|259  |autor                    |http://dbpedia.org/property/autor                      |35013          |
|260  |subdivisionRanks         |http://es.dbpedia.org/property/subdivisionRanks        |35001          |
|261  |km²_                     |http://es.dbpedia.org/property/km²_                    |34986          |
|262  |km²_                     |http://dbpedia.org/property/km²_                       |34976          |
|263  |apellido                 |http://es.dbpedia.org/property/apellido                |34875          |
|264  |nacionalidad             |http://es.dbpedia.org/property/nacionalidad            |34751          |
|265  |cargo                    |http://es.dbpedia.org/property/cargo                   |34647          |
|266  |duración                 |http://dbpedia.org/property/duración                   |33994          |
|267  |altMini                  |http://es.dbpedia.org/property/altMini                 |33955          |
|268  |altMini                  |http://dbpedia.org/property/altMini                    |33944          |
|269  |altMaxi                  |http://es.dbpedia.org/property/altMaxi                 |33616          |
|270  |altMaxi                  |http://dbpedia.org/property/altMaxi                    |33606          |
|271  |comunasLimítrofes        |http://es.dbpedia.org/property/comunasLimítrofes       |33465          |
|272  |goleslocal               |http://es.dbpedia.org/property/goleslocal              |33451          |
|273  |imdbId                   |http://dbpedia.org/ontology/imdbId                     |33193          |
|274  |language                 |http://dbpedia.org/ontology/language                   |33106          |
|275  |hectares                 |http://es.dbpedia.org/property/hectares                |33066          |
|276  |hectares                 |http://dbpedia.org/property/hectares                   |33056          |
|277  |escudo                   |http://dbpedia.org/property/escudo                     |33013          |
|278  |altitud                  |http://es.dbpedia.org/property/altitud                 |32946          |
|279  |formato                  |http://es.dbpedia.org/property/formato                 |32828          |
|280  |nombrecompleto           |http://es.dbpedia.org/property/nombrecompleto          |32824          |
|281  |intercommunality         |http://dbpedia.org/ontology/intercommunality           |32715          |
|282  |prefijo                  |http://dbpedia.org/property/prefijo                    |32471          |
|283  |club                     |http://dbpedia.org/ontology/club                       |32364          |
|284  |subfamilia               |http://es.dbpedia.org/property/subfamilia              |32119          |
|285  |comunasLimítrofes        |http://dbpedia.org/property/comunasLimítrofes          |32096          |
|286  |idioma                   |http://dbpedia.org/property/idioma                     |32077          |
|287  |ciudaddenacimiento       |http://es.dbpedia.org/property/ciudaddenacimiento      |31834          |
|288  |field                    |http://dbpedia.org/ontology/field                      |31571          |
|289  |clubdebut                |http://es.dbpedia.org/property/clubdebut               |31461          |
|290  |posición                 |http://dbpedia.org/property/posición                   |31395          |
|291  |nombreCódigo             |http://dbpedia.org/property/nombreCódigo               |31289          |
|292  |código                   |http://dbpedia.org/property/código                     |31151          |
|293  |estadio                  |http://es.dbpedia.org/property/estadio                 |31104          |
|294  |club                     |http://es.dbpedia.org/property/club                    |31076          |
|295  |ubicación                |http://dbpedia.org/property/ubicación                  |30760          |
|296  |foto                     |http://es.dbpedia.org/property/foto                    |30658          |
|297  |apellidos                |http://dbpedia.org/property/apellidos                  |30623          |
|298  |divisio                  |http://es.dbpedia.org/property/divisio                 |30330          |
|299  |tamaño                   |http://es.dbpedia.org/property/tamaño                  |30325          |
|300  |imdb                     |http://es.dbpedia.org/property/imdb                    |30094          |
|301  |maire                    |http://es.dbpedia.org/property/maire                   |29615          |
|302  |imageWidth               |http://dbpedia.org/property/imageWidth                 |29440          |
|303  |referencia               |http://es.dbpedia.org/property/referencia              |29440          |
|304  |fecha                    |http://dbpedia.org/property/fecha                      |29051          |
|305  |subphylum                |http://es.dbpedia.org/property/subphylum               |28959          |
|306  |isbn                     |http://dbpedia.org/property/isbn                       |28870          |
|307  |band                     |http://dbpedia.org/ontology/band                       |28775          |
|308  |subdivision              |http://dbpedia.org/property/subdivision                |28606          |
|309  |inicio                   |http://es.dbpedia.org/property/inicio                  |28519          |
|310  |homeStadium              |http://dbpedia.org/ontology/homeStadium                |28458          |
|311  |lugarNacimiento          |http://es.dbpedia.org/property/lugarNacimiento         |28328          |
|312  |bandera                  |http://es.dbpedia.org/property/bandera                 |28292          |
|313  |instrument               |http://dbpedia.org/ontology/instrument                 |28276          |
|314  |guion                    |http://es.dbpedia.org/property/guion                   |28180          |
|315  |successor                |http://dbpedia.org/ontology/successor                  |27968          |
|316  |commander                |http://dbpedia.org/ontology/commander                  |27906          |
|317  |dirección                |http://es.dbpedia.org/property/dirección               |27901          |
|318  |director                 |http://dbpedia.org/ontology/director                   |27895          |
|319  |fundación                |http://dbpedia.org/property/fundación                  |27683          |
|320  |homeArena                |http://dbpedia.org/ontology/homeArena                  |27627          |
|321  |sitioWeb                 |http://es.dbpedia.org/property/sitioWeb                |27610          |
|322  |lanzamiento              |http://es.dbpedia.org/property/lanzamiento             |27430          |
|323  |birthName                |http://dbpedia.org/ontology/birthName                  |27222          |
|324  |web                      |http://es.dbpedia.org/property/web                     |27195          |
|325  |binomialAuthority        |http://dbpedia.org/property/binomialAuthority          |26818          |
|326  |maire                    |http://dbpedia.org/property/maire                      |26759          |
|327  |producción               |http://es.dbpedia.org/property/producción              |26740          |
|328  |distancia                |http://es.dbpedia.org/property/distancia               |26719          |
|329  |status                   |http://es.dbpedia.org/property/status                  |26718          |
|330  |origen                   |http://es.dbpedia.org/property/origen                  |26618          |
|331  |computingPlatform        |http://dbpedia.org/ontology/computingPlatform          |26451          |
|332  |tipoAdm                  |http://es.dbpedia.org/property/tipoAdm                 |26329          |
|333  |texto                    |http://es.dbpedia.org/property/texto                   |26328          |
|334  |writer                   |http://es.dbpedia.org/property/writer                  |26032          |
|335  |causalties               |http://dbpedia.org/ontology/causalties                 |26019          |
|336  |fechaDeNacimiento        |http://dbpedia.org/property/fechaDeNacimiento          |25963          |
|337  |añodebut                 |http://es.dbpedia.org/property/añodebut                |25550          |
|338  |paisdenacimiento         |http://es.dbpedia.org/property/paisdenacimiento        |25384          |
|339  |imageCaption             |http://es.dbpedia.org/property/imageCaption            |25139          |
|340  |altura                   |http://es.dbpedia.org/property/altura                  |25137          |
|341  |cónyuge                  |http://es.dbpedia.org/property/cónyuge                 |24981          |
|342  |infraordo                |http://es.dbpedia.org/property/infraordo               |24902          |
|343  |routeNumber              |http://dbpedia.org/ontology/routeNumber                |24716          |
|344  |golesvisita              |http://es.dbpedia.org/property/golesvisita             |24662          |
|345  |y                        |http://es.dbpedia.org/property/y                       |24645          |
|346  |artistasRelacionados     |http://es.dbpedia.org/property/artistasRelacionados    |24595          |
|347  |x                        |http://es.dbpedia.org/property/x                       |24402          |
|348  |grabación                |http://es.dbpedia.org/property/grabación               |24158          |
|349  |mayor                    |http://dbpedia.org/ontology/mayor                      |24139          |
|350  |alias                    |http://dbpedia.org/ontology/alias                      |24135          |
|351  |altitud                  |http://dbpedia.org/property/altitud                    |24110          |
|352  |adm                      |http://es.dbpedia.org/property/adm                     |24098          |
|353  |artista                  |http://es.dbpedia.org/property/artista                 |24094          |
|354  |headquarter              |http://dbpedia.org/ontology/headquarter                |23942          |
|355  |municipalityCode         |http://dbpedia.org/ontology/municipalityCode           |23882          |
|356  |status                   |http://dbpedia.org/property/status                     |23861          |
|357  |páginas                  |http://es.dbpedia.org/property/páginas                 |23800          |
|358  |gentilicio               |http://es.dbpedia.org/property/gentilicio              |23789          |
|359  |nombrecompleto           |http://dbpedia.org/property/nombrecompleto             |23526          |
|360  |publicación              |http://es.dbpedia.org/property/publicación             |23519          |
|361  |review                   |http://dbpedia.org/ontology/review                     |23353          |
|362  |lugarnac                 |http://es.dbpedia.org/property/lugarnac                |23127          |
|363  |foto                     |http://dbpedia.org/property/foto                       |23124          |
|364  |apellido                 |http://dbpedia.org/property/apellido                   |23095          |
|365  |productor                |http://dbpedia.org/property/productor                  |23043          |
|366  |tribus                   |http://es.dbpedia.org/property/tribus                  |22955          |
|367  |goleslocal               |http://dbpedia.org/property/goleslocal                 |22924          |
|368  |foundingYear             |http://dbpedia.org/ontology/foundingYear               |22534          |
|369  |altMoy                   |http://es.dbpedia.org/property/altMoy                  |22491          |
|370  |altMoy                   |http://dbpedia.org/property/altMoy                     |22484          |
|371  |campos                   |http://es.dbpedia.org/property/campos                  |22457          |
|372  |bandMember               |http://dbpedia.org/ontology/bandMember                 |22302          |
|373  |títuloOriginal           |http://es.dbpedia.org/property/títuloOriginal          |22245          |
|374  |fechadenacimiento        |http://es.dbpedia.org/property/fechadenacimiento       |22154          |
|375  |imdb                     |http://dbpedia.org/property/imdb                       |22116          |
|376  |characterInPlay          |http://dbpedia.org/ontology/characterInPlay            |22080          |
|377  |note                     |http://es.dbpedia.org/property/note                    |22056          |
|378  |tamaño                   |http://dbpedia.org/property/tamaño                     |21859          |
|379  |subclassis               |http://dbpedia.org/property/subclassis                 |21825          |
|380  |web                      |http://dbpedia.org/property/web                        |21683          |
|381  |pos                      |http://es.dbpedia.org/property/pos                     |21424          |
|382  |y                        |http://dbpedia.org/property/y                          |21407          |
|383  |liga                     |http://es.dbpedia.org/property/liga                    |21343          |
|384  |rangeMapWidth            |http://es.dbpedia.org/property/rangeMapWidth           |21330          |
|385  |alcalde                  |http://es.dbpedia.org/property/alcalde                 |21315          |
|386  |x                        |http://dbpedia.org/property/x                          |21229          |
|387  |campo                    |http://es.dbpedia.org/property/campo                   |21226          |
|388  |nombreDeNacimiento       |http://es.dbpedia.org/property/nombreDeNacimiento      |21119          |
|389  |longitude                |http://es.dbpedia.org/property/longitude               |20866          |
|390  |latitude                 |http://es.dbpedia.org/property/latitude                |20862          |
|391  |longitude                |http://dbpedia.org/property/longitude                  |20858          |
|392  |latitude                 |http://dbpedia.org/property/latitude                   |20854          |
|393  |fechaacceso              |http://es.dbpedia.org/property/fechaacceso             |20584          |
